,saleprice,sqfttotliving,yrbuilt,yrrenovated,bedrooms,zipcode,sqfttotbasement,sqftfinbasement,sqftopenporch,sqftenclosedporch,sqftdeck,heatsystem,bathhalfcount,bath3qtrcount,bathfullcount,condition,sqftgarageattached,bldggrade,finbasementgrade,inadequateparking,township,trafficnoise
62,631000,720,1927,0,2,98108,660,0,110,40,0,1,0,0,1,4,0,6,0,2,24,0
63,1244500,2460,1972,0,3,98040,770,700,50,0,0,5,0,1,2,4,460,8,7,2,24,0
64,685000,2000,2001,0,3,98072,0,0,110,0,120,5,1,0,2,3,450,8,0,2,26,0
65,900000,3150,1979,0,6,98155,1460,1460,40,0,190,5,0,1,2,3,480,9,8,0,26,0
66,778000,2110,1986,0,3,98029,0,0,100,0,0,5,1,0,2,3,550,8,0,2,24,0
67,1260000,2540,1988,0,4,98053,0,0,50,0,0,5,1,0,2,4,710,10,0,0,25,0
70,748000,3360,2006,0,4,98019,1140,0,200,0,0,5,0,1,2,3,0,9,0,2,26,0
71,350000,1430,1970,0,3,98003,0,0,0,0,270,5,0,1,1,4,290,7,0,2,21,0
72,887500,2010,1951,0,3,98116,1300,360,90,0,0,1,0,0,1,3,380,8,8,2,24,0
73,865000,2170,1999,0,3,98029,0,0,0,0,0,5,1,0,2,3,420,8,0,2,24,0
74,800000,1460,1994,0,2,98107,920,520,0,0,90,5,0,0,2,3,0,7,7,2,25,0
75,585000,1910,1954,0,3,98038,0,0,0,0,0,5,1,0,1,4,0,7,0,0,22,0
76,710000,2300,1979,0,3,98056,1250,940,0,0,100,5,1,1,1,4,190,8,7,2,24,0
77,430000,2340,1999,0,3,98031,0,0,60,0,0,5,1,0,2,3,420,8,0,2,22,0
78,645000,1570,1963,0,3,98007,1120,450,0,0,100,5,0,0,1,3,240,7,6,2,24,0
79,450000,2170,1996,0,4,98023,1220,820,0,0,220,5,0,1,2,4,530,8,8,2,21,0
80,1245000,3130,1996,0,4,98033,1100,1100,40,0,780,5,1,0,3,4,450,9,9,2,26,0
81,900000,2910,2001,0,4,98027,0,0,200,0,0,5,1,0,3,3,780,9,0,2,23,0
82,1200000,2200,1943,1996,3,98103,290,290,130,0,80,5,1,2,1,4,0,8,7,2,25,0
83,287900,1570,1955,0,3,98003,0,0,0,0,310,5,0,0,1,4,0,7,0,2,21,0
85,465000,1290,1938,0,2,98055,1000,0,30,0,0,5,0,0,1,4,0,6,0,0,23,0
86,459750,2250,2002,0,4,98168,950,0,60,0,0,5,1,0,2,3,400,8,0,2,23,1
